id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53918613,Rooftop View of DT | Near the Gulch,388056808,Grand Welcome Nashville,,District 17,36.14533,-86.78008,Entire home/apt,251,1,56,2024-08-26,1.70,78,322,18,
53932077,Spacious and Modern Lockeland Guesthouse,425186303,Claire,,District 6,36.17453,-86.74188,Entire home/apt,165,2,14,2024-08-11,2.56,1,25,14,
53937884,Entire East Nash Townhouse- free parking,29074554,Jen,,District 5,36.20789,-86.76689,Entire home/apt,121,2,106,2024-09-01,3.38,3,358,37,
53939382,Green Hills Escape | Family & Pet Friendly,388056808,Grand Welcome Nashville,,District 25,36.09905,-86.79937,Entire home/apt,220,1,42,2024-07-29,1.27,78,310,15,
53942961,"🌟🌟🌟🌟🌟Oversized deck, patio, grill,prime location!",407679288,Jade,,District 19,36.18355,-86.79474,Entire home/apt,404,2,36,2024-09-01,1.11,1,351,6,
53943260,Denim Dreams Off Broadway * In Downtown *,219332669,Alyssa,,District 19,36.15414,-86.77513,Entire home/apt,,2,110,2024-09-15,3.58,1,347,40,
53952042,Cozy East Nashville Cottage 7 Min To Downtown,79114083,Reilly,,District 5,36.20207,-86.75849,Entire home/apt,318,2,104,2024-09-02,3.82,1,238,41,
53967852,Riverfront Condo in DT,388056808,Grand Welcome Nashville,,District 19,36.17284,-86.78024,Entire home/apt,176,1,22,2024-08-31,0.69,78,321,8,
53969196,"Germantown Carriage House, Quiet Luxury 1m from DT",424927668,Anne Walker,,District 19,36.17533,-86.78712,Entire home/apt,263,2,109,2024-09-09,3.30,1,143,34,
53973132,"Spacious 4 Beds walk Vanderbilt, Belmont + Parking",4910520,Amy,,District 18,36.13690186,-86.79620361,Entire home/apt,263,1,161,2024-09-10,4.85,15,318,63,
53978814,NashVegas-Brand New+Rooftop 4BR-2 miles 2 Broadway,125774929,Shawn,,District 5,36.19414,-86.75588,Entire home/apt,255,2,68,2024-09-04,2.15,2,296,22,
53980177,Revamped Dorm Room - GREAT Location!,6855810,UrbanNashville,,District 19,36.145741,-86.796005,Private room,64,1,63,2024-08-09,2.04,115,125,27,
54165434,Spacious 3 Bedroom 6 Beds Nash House w/ Large Yard,416033925,Amy,,District 5,36.19543,-86.75273,Entire home/apt,241,1,164,2024-08-18,5.11,58,325,52,
54168579,Nashville palace the home away from home.,439179376,Nash,,District 16,36.11361,-86.73087,Entire home/apt,,3,20,2024-09-02,0.83,1,156,12,
54185439,Modern Guest House-Heart of Walkable Sylvan Park,17380589,Dan & Kim,,District 24,36.14246,-86.84233,Entire home/apt,182,2,44,2024-09-01,2.29,1,17,25,
